step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
0,0.7483977294,0.7483977294,0.7483977294,1.4789266872,1.4789266872,1.4789266872,0.6058410573,2.5539475155,0.7483977294,,
1,0.7663927118,0.7588098884,0.7720181060,1.3827424574,1.3568535128,1.4017500658,0.5842491186,2.4878875256,0.7663927118,-0.6006781856,0.4062500000
2,0.7835101891,0.7755789633,0.7894636564,1.2926099006,1.2449412065,1.3309345078,0.5561749812,2.4536986383,0.7835101891,-0.0710693573,0.6250000000
3,0.8024185499,0.7819584255,0.8229220524,1.1567338292,1.1437193427,1.1700143085,0.5110008518,2.3842263571,0.8024185499,-0.5041324695,0.4270833333
4,0.8097683136,0.7868564501,0.8308046064,1.1008431514,1.0502310286,1.1582391539,0.4923143621,2.3771793048,0.8097683136,-0.2919843793,0.5000000000
5,0.8102249622,0.7878957996,0.8371100330,1.0822010207,0.9795551848,1.1760805717,0.4806546680,2.3531698577,0.8102249622,-0.7716418952,0.3541666667
6,0.8174204707,0.8043910322,0.8317062159,1.0991729387,1.0090975456,1.1708231392,0.4927919730,2.3526108837,0.8174204707,-0.3868348996,0.4166666667
7,0.5973126765,0.4255542135,0.7684836864,1.5683761644,1.2417912130,1.8342185202,0.6050529091,2.4629791864,0.5973126765,-0.2217795352,0.5833333333
8,0.7138369266,0.6129114475,0.8154535217,1.3747810268,1.1006858883,1.5820204906,0.5336883163,2.4387493738,0.7138369266,-1.0021944443,0.1145833333
9,0.8245788050,0.8101911445,0.8349106135,1.0160708062,0.9873453526,1.0455268159,0.4536408726,2.3552094682,0.8245788050,-0.3104712665,0.6145833333
10,0.8465683707,0.8338075747,0.8566700931,0.9434981799,0.9054361944,0.9814718027,0.4279821781,2.3341834863,0.8465683707,-0.2309260468,0.6250000000
11,0.8514840476,0.8346174870,0.8675747471,0.8982759670,0.8895858860,0.9090017633,0.4166958416,2.2942672094,0.8514840476,-0.4873151183,0.5000000000
12,0.8723930144,0.8629435225,0.8796752748,0.8211128998,0.7569309168,0.8712031107,0.3972220381,2.2699859222,0.8723930144,-0.1168771833,0.6458333333
13,0.8780905644,0.8766264486,0.8801129065,0.7921080041,0.7207670331,0.8471095357,0.3961241849,2.2534955279,0.8780905644,-0.3816595947,0.6250000000
14,0.8112035577,0.7554897814,0.8520543451,0.9762930703,0.8447704501,1.1355494342,0.4214880180,2.2768442949,0.8112035577,-0.1624059280,0.6250000000
15,0.8638291494,0.8463308210,0.8790321665,0.8224756364,0.7658613267,0.8875413547,0.3908327373,5911.3926933861,0.8638291494,0.0179123431,0.7500000000
16,0.8859548926,0.8759414196,0.8990693016,0.7535852257,0.7034741688,0.8074688282,0.3729443594,2.2556267993,0.8859548926,-0.2104556834,0.7083333333
17,0.8907145325,0.8732130866,0.9137750773,0.7219583527,0.6390242329,0.7938895397,0.3634904170,2.1905755711,0.8907145325,-0.4212913513,0.5937500000
18,0.8971427520,0.8835990200,0.9137426395,0.6884615882,0.6358297381,0.7317079215,0.3469774632,2.3062139050,0.8971427520,0.1235014846,0.7812500000
19,0.9074716973,0.8971811023,0.9195655475,0.6549097196,0.6279676189,0.6759130135,0.3344353923,2.1556540696,0.9074716973,-0.1828669210,0.6770833333
20,0.9207453489,0.9021708388,0.9399352412,0.5871394879,0.5447725304,0.6381101254,0.3201150583,2.0939406872,0.9207453489,-0.1578775793,0.7083333333
21,0.8835140300,0.8597564750,0.9013686461,0.7479401910,0.6233627548,0.8631069059,0.3724615179,2.1289609973,0.8835140300,0.4482144117,0.7916666667
22,0.8952280990,0.8778955717,0.9094883699,0.6920960969,0.5847425857,0.7786077623,0.3636405678,2.0975570583,0.8952280990,-0.0861129959,0.7916666667
23,0.9088804094,0.8954263229,0.9221794224,0.6428696088,0.5534102306,0.7348642530,0.3474143927,3329.9321611452,0.9088804094,-0.1404346426,0.7812500000
