step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
0,0.7483984065,0.7483984065,0.7483984065,1.4789249468,1.4789249468,1.4789249468,0.6058417046,2.5538880253,0.7483984065,,
1,0.7223360451,0.6985872059,0.7434758759,1.5649328677,1.5003127193,1.6229108410,0.6436964536,2.6433408833,0.7223360451,2.4983481566,
2,0.7583607229,0.7283637772,0.7893396835,1.4969775899,1.3644203186,1.6209196777,0.6294699784,2.7213771089,0.7583607229,2.2148956458,
3,0.7575621661,0.7419688964,0.7753748870,1.4504243247,1.3847257860,1.5207075164,0.6230187921,2.7310980574,0.7575621661,2.5529975891,
4,0.7655980666,0.7392139020,0.7883555284,1.4869431750,1.3878364358,1.6122445569,0.6386041443,2.8013679790,0.7655980666,2.8965417544,
5,0.8004203701,0.7871166573,0.8177368889,1.3980221295,1.2912075939,1.4920960846,0.6215243014,2.7670139885,0.8004203701,2.8366402785,
6,0.8284937843,0.8218083410,0.8336228781,1.3057866907,1.2623425574,1.3585674548,0.6087390792,2.7391819032,0.8284937843,2.3991906643,
7,0.5963858930,0.3997877903,0.7819303970,1.7419843928,1.4294454956,2.0165428009,0.6458413366,2.6821411196,0.5963858930,1.8410794536,
8,0.6979120392,0.5092273555,0.8391354761,1.7131502239,1.2957129793,2.2649866362,0.6685774648,2.9487228425,0.6979120392,3.5093130668,
9,0.8045150749,0.7289881563,0.8633515120,1.3888998413,1.1453827815,1.7197995811,0.6019902643,2.8242079798,0.8045150749,2.4695034027,
10,0.8485119780,0.8063720388,0.8786985407,1.2229880110,1.0606290846,1.4461446829,0.5927690339,201.4342415047,0.8485119780,2.0872572660,
11,0.8661918585,0.8512679601,0.8782409368,1.1349285138,1.0664119918,1.2258051422,0.5833934589,400.0225522741,0.8661918585,1.8217452367,
12,0.8972773059,0.8758818345,0.9176897702,0.9950007021,0.9017130783,1.1133985279,0.5403273543,797.2775641092,0.8972773059,1.5800381104,
13,0.9091777094,0.8964976859,0.9197003913,0.9392087837,0.8751139591,1.0187819850,0.5415311678,4423.2066546694,0.9091777094,1.8629196882,
14,0.7428240585,0.6445733018,0.8145723538,1.3294918005,1.2449312572,1.4063226089,0.6072694518,464.2915577793,0.7428240585,1.7415471077,
15,0.8163228631,0.7466369572,0.8910097466,1.2005506591,0.9955178452,1.3867785883,0.5828028119,2.5677856827,0.8163228631,2.5013233821,
16,0.8930946795,0.8687169800,0.9197604446,1.0018675208,0.8947870011,1.0918934464,0.5545798433,2.6713822889,0.8930946795,2.1315026283,
17,0.9244832993,0.9070521941,0.9382928615,0.8656111459,0.8101997669,0.9360100696,0.5295436406,6917.3323270702,0.9244832993,1.5056730111,
18,0.9336222148,0.9239707074,0.9406607633,0.8151910305,0.7767492592,0.8530064929,0.5184841651,4219.9193938923,0.9336222148,0.8324621320,
19,0.9358164080,0.9254540606,0.9461838179,0.8431915875,0.7837068570,0.8902340176,0.5486775261,1393.1865979067,0.9358164080,1.2893035809,
20,0.9517251786,0.9457854013,0.9597906446,0.7371766786,0.6692926431,0.7885413833,0.5131642862,15634.7920819537,0.9517251786,1.1523987850,
21,0.9295160278,0.9027259293,0.9521651917,0.8282321123,0.7156490736,0.9545808830,0.5201063399,6160.2051914406,0.9295160278,0.6226878464,
22,0.9385303561,0.9224609408,0.9502937522,0.7958987991,0.7514452262,0.8575287681,0.5277933335,1589.9216222731,0.9385303561,0.8493686318,
23,0.9530045176,0.9381443119,0.9658343143,0.7213782787,0.6485829728,0.7936221831,0.5061030579,5112.5816835403,0.9530045176,0.8184204102,
24,0.9652056336,0.9567168303,0.9728228579,0.6632081552,0.5962360110,0.7254866681,0.4896238649,9893.2285625744,0.9652056336,0.8761220574,
25,0.9628309790,0.9521283245,0.9724227734,0.6692916059,0.5912775159,0.7476861024,0.4913705186,107.2419258690,0.9628309790,0.7653020024,
26,0.9728099704,0.9698491993,0.9758273354,0.6272657291,0.5981819248,0.6540819016,0.4854099778,6063.3716786671,0.9728099704,0.9389009078,
27,0.9783268197,0.9777385206,0.9789783621,0.5958738414,0.5882034721,0.6025015697,0.4740533261,5639.8534356626,0.9783268197,0.9498861631,
28,0.9355036179,0.9051246700,0.9646676502,0.7194373361,0.6439251187,0.8153725092,0.5028299795,3884.8322174184,0.9355036179,0.4352918863,
29,0.9648265004,0.9535662308,0.9776197300,0.6198050024,0.5790612071,0.6521301982,0.4635492033,5755.7988080819,0.9648265004,0.9556637804,
30,0.9771808052,0.9733634720,0.9819115829,0.5935088452,0.5692140689,0.6116467853,0.4716394411,7230.2833555253,0.9771808052,0.7419856588,
31,0.9801564169,0.9776656313,0.9828532152,0.5730580213,0.5533840853,0.5879069182,0.4660155539,3942.5299485556,0.9801564169,0.7248642643,
32,0.9830697266,0.9818298426,0.9841851206,0.5511944111,0.5338318458,0.5647016883,0.4589598548,4814.0440551281,0.9830697266,0.5298544168,
33,0.9866275112,0.9845998316,0.9892373228,0.5345006486,0.5051415014,0.5571157417,0.4574721579,7044.0987869549,0.9866275112,0.5410779218,
34,0.9853937888,0.9841076374,0.9866491661,0.5430989500,0.5252554169,0.5595017176,0.4631058431,22429.2518793360,0.9853937888,0.4417412480,
35,0.9762737234,0.9655626493,0.9846109929,0.5805202047,0.5479016719,0.6151089778,0.4695355550,15584.0036560059,0.9762737234,0.4146414995,
36,0.9844116871,0.9801539164,0.9874720640,0.5498583827,0.5289984655,0.5733368917,0.4651749712,6605.3644752185,0.9844116871,0.5063999494,
37,0.9896780348,0.9886312890,0.9906528859,0.5105643193,0.5041542373,0.5156477695,0.4498991100,11004.6225260099,0.9896780348,0.4712790350,
38,0.9905689756,0.9893640680,0.9915978384,0.4980196673,0.4834560882,0.5150869504,0.4436473846,23367.5325112788,0.9905689756,0.4016073048,
39,0.9914491598,0.9904080982,0.9923437996,0.4938302712,0.4837413595,0.5060052125,0.4439955966,5709.0321072753,0.9914491598,0.1955643445,
40,0.9937342167,0.9931442280,0.9943017063,0.4841442982,0.4641643779,0.5037966535,0.4441792192,26244.1427181896,0.9937342167,0.3862018287,
41,0.9935872245,0.9932043953,0.9939565258,0.4961343582,0.4845495245,0.5048590062,0.4550954888,11949.6859314394,0.9935872245,0.3257182588,
42,0.9877807570,0.9807086215,0.9933421302,0.5241351422,0.4854251442,0.5543786144,0.4636547291,13353.6579230102,0.9877807570,0.4982161025,
43,0.9898625485,0.9845119209,0.9939672127,0.5014147546,0.4776589422,0.5205202756,0.4495021713,6578.9144419686,0.9898625485,0.2168612902,
44,0.9914167476,0.9863665113,0.9952867517,0.4874077537,0.4640168173,0.5048422430,0.4436754441,13629.7660486285,0.9914167476,0.2608003269,
45,0.9950270112,0.9944413910,0.9956654663,0.4651253680,0.4497387252,0.4835579839,0.4323621833,11882.9863707352,0.9950270112,0.3548574199,
46,0.9956759294,0.9953956747,0.9959559507,0.4577464654,0.4444743838,0.4751168346,0.4295410575,9120.7610126305,0.9956759294,0.2414541145,
47,0.9959362404,0.9957901821,0.9960684128,0.4591550259,0.4463279607,0.4724281747,0.4324447117,21494.9205186144,0.9959362404,0.2432509561,
48,0.9965139230,0.9964197540,0.9966126175,0.4504867846,0.4343502610,0.4671983078,0.4266213034,8800.4208163277,0.9965139230,0.1624317989,
49,0.9964417283,0.9962537813,0.9966023226,0.4523724294,0.4331086910,0.4662887447,0.4281869082,23031.5816120021,0.9964417283,0.1237627268,
50,0.9969236024,0.9967400932,0.9970790672,0.4453367213,0.4285911443,0.4605338819,0.4240349836,16414.0128405285,0.9969236024,0.1258909851,
51,0.9971067023,0.9968491364,0.9973504467,0.4431609911,0.4286158298,0.4575801309,0.4229988358,12856.7240043290,0.9971067023,0.1039111043,
52,0.9970486522,0.9965830507,0.9974423094,0.4439871758,0.4247763255,0.4641952121,0.4237602748,8371.0901546876,0.9970486522,0.1471540183,
53,0.9970623620,0.9967816648,0.9973131285,0.4478177627,0.4339839004,0.4623029374,0.4275902043,22119.4052825737,0.9970623620,0.1902298480,
54,0.9973249539,0.9969563336,0.9975982404,0.4435464581,0.4298083278,0.4577442099,0.4249025869,12053.4417411009,0.9973249539,0.1143171489,
55,0.9978106133,0.9976950407,0.9979291258,0.4363572357,0.4233019104,0.4498783212,0.4203677628,21745.9730702209,0.9978106133,0.1245793899,
56,0.9972391518,0.9962785168,0.9979490738,0.4460962103,0.4178860872,0.4832829583,0.4272865311,20008.5614732742,0.9972391518,0.1664032489,
57,0.9975616527,0.9969082913,0.9980413632,0.4397303595,0.4164000487,0.4717033978,0.4227357918,11738.7531778844,0.9975616527,0.0881495178,
58,0.9978423127,0.9973675661,0.9982174559,0.4342072290,0.4159084656,0.4596369121,0.4189073787,23532.5098615869,0.9978423127,0.0986019423,
59,0.9979898310,0.9976676307,0.9982481341,0.4319216496,0.4158253113,0.4529828478,0.4175135489,22190.1276284838,0.9979898310,0.0592377521,
60,0.9981001504,0.9978184357,0.9983337708,0.4319378376,0.4166766894,0.4526709569,0.4182549544,12831.2472301038,0.9981001504,0.0766484601,
61,0.9983352693,0.9981808581,0.9984700332,0.4301693761,0.4114888141,0.4518861282,0.4177121836,19412.6469614855,0.9983352693,0.1536525488,
62,0.9984851344,0.9983430910,0.9986126986,0.4271161002,0.4099699830,0.4472049655,0.4156180910,12409.1200850232,0.9984851344,0.0818594272,
63,0.9948753389,0.9899142084,0.9985217333,0.4304888636,0.4101410894,0.4481585784,0.4122072343,21338.4215972010,0.9948753389,0.2615555276,
64,0.9964942090,0.9936094403,0.9986521630,0.4333787447,0.4118275874,0.4540065286,0.4163075642,18483.3182471752,0.9964942090,0.1003579845,
65,0.9982980347,0.9978618512,0.9987003274,0.4206138813,0.4082072068,0.4332517306,0.4080484295,23801.1428274028,0.9982980347,0.1615813772,
66,0.9985827851,0.9984268179,0.9987648287,0.4159364074,0.4058293737,0.4285767120,0.4052137299,28863.5843403339,0.9985827851,0.0849752078,
67,0.9986610134,0.9985543337,0.9988021841,0.4145664030,0.4038166240,0.4278759598,0.4043836250,29221.9719781240,0.9986610134,0.0588319389,
68,0.9987986366,0.9987017136,0.9989141941,0.4101732804,0.3999085068,0.4236594919,0.4008230853,14281.5332172394,0.9987986366,0.0973218704,
69,0.9988733753,0.9987746077,0.9989720564,0.4062851348,0.3950071937,0.4216972057,0.3974997181,15789.5322644043,0.9988733753,0.0769236435,
70,0.9988843950,0.9987872610,0.9989875669,0.4033567937,0.3928153884,0.4173780534,0.3946719007,26914.3180255572,0.9988843950,0.0430911357,
71,0.9989329410,0.9988404088,0.9990254369,0.4033662490,0.3933076923,0.4168982904,0.3950407545,8533.1430185572,0.9989329410,0.0544751460,
72,0.9989670364,0.9988842831,0.9990535965,0.4030151629,0.3934632058,0.4138092437,0.3948516250,20636.0986640485,0.9989670364,0.0687769987,
73,0.9990400179,0.9989768038,0.9991266775,0.4033938156,0.3938087687,0.4152962742,0.3957356207,15629.3658248965,0.9990400179,0.0502743522,
74,0.9990607715,0.9990006123,0.9991437950,0.4019840346,0.3925856073,0.4137245800,0.3944982221,19018.8860024134,0.9990607715,0.0539388781,
75,0.9990897759,0.9990286565,0.9991728139,0.4011149001,0.3908148772,0.4139360315,0.3938523028,7642.9101018143,0.9990897759,0.0487059305,
76,0.9991227134,0.9990679674,0.9991884737,0.4001126021,0.3900400376,0.4140445662,0.3930972610,15375.1863745530,0.9991227134,0.0498151258,
77,0.9991403103,0.9990813279,0.9992092290,0.3969909197,0.3882247962,0.4088216943,0.3901137465,15375.7833499654,0.9991403103,0.1000523691,
78,0.9991871754,0.9991445131,0.9992391100,0.3970109115,0.3877075832,0.4091151230,0.3904488158,6074.8527903970,0.9991871754,0.0445771118,
79,0.9992017396,0.9991263361,0.9992772493,0.3976121279,0.3901914895,0.4077970288,0.3911450152,13901.5584820938,0.9992017396,0.0628398980,
80,0.9992451501,0.9991712184,0.9993108745,0.3949472787,0.3864100678,0.4057845848,0.3887827814,8651.6616838964,0.9992451501,0.0444437253,
