step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
0,0.7484023643,0.7484023643,0.7484023643,1.4789115620,1.4789115620,1.4789115620,0.6058424401,2.5539051151,0.7484023643,,
1,0.7747437151,0.7698154011,0.7788660965,1.3698564148,1.3505529060,1.3939617958,0.5819371808,2.4843136501,0.7747437151,1.1130900979,
2,0.8018799718,0.8005262632,0.8036595297,1.2868255568,1.2719981823,1.3009921665,0.5570006688,2.5080600166,0.8018799718,0.8829849362,
3,0.8116632326,0.7948181028,0.8245678759,1.1989679885,1.1637271791,1.2303167710,0.5329512310,2.4435555681,0.8116632326,1.1322846611,
4,0.8412680697,0.8369569383,0.8470977082,1.0724379444,1.0259114151,1.1142032089,0.4976747775,2.4032979457,0.8412680697,1.0254868865,
5,0.8660717400,0.8566078830,0.8731926951,0.9847961211,0.9674202442,1.0003453445,0.4697966063,2.4397588889,0.8660717400,1.0715666016,
6,0.8630916460,0.8309819384,0.8922893019,1.0219494255,0.8984760900,1.1658816533,0.4714022414,2.4741935921,0.8630916460,0.8799035748,
7,0.8158679088,0.7819755177,0.8460104852,1.1294745525,1.0410068855,1.1927906494,0.4826784122,2.4419635487,0.8158679088,0.8442432682,
8,0.8771901759,0.8564191227,0.8997691612,0.9442793822,0.8715091000,1.0048857422,0.4568789037,2.4702992853,0.8771901759,0.8037158251,
9,0.8942974035,0.8740041356,0.9152365956,0.8751490998,0.8091818366,0.9432621093,0.4476828657,2.4418436813,0.8942974035,0.6354065736,
10,0.9085679118,0.8970198469,0.9245269308,0.8377019080,0.7651029596,0.8918294973,0.4299656435,2.4606974761,0.9085679118,0.7615809043,
11,0.9265515860,0.9152212481,0.9405901446,0.7650654443,0.6980395427,0.8166226630,0.4177822137,2.4558793831,0.9265515860,0.6840584278,
